,code
2223,600563
2224,600584
2225,600602
2226,600667
2227,600703
2228,600707
2229,600747
2230,600817
2231,600980
2232,601012
2233,601231
2234,601908
2235,603005
2236,603118
2237,603328
2238,603678
2239,000020
2240,000050
2241,000058
2242,000068
2243,000413
2244,000536
2245,000636
2246,000670
2247,000725
2248,000727
2249,000733
2250,000810
2251,000823
2252,002025
2253,002045
2254,002049
2255,002055
2256,002056
2257,002057
2258,002079
2259,002104
2260,002106
2261,002119
2262,002129
2263,002134
2264,002137
2265,002138
2266,002139
2267,002141
2268,002156
2269,002179
2270,002185
2271,002188
2272,002189
2273,002199
2274,002218
2275,002222
2276,002241
2277,002273
2278,002288
2279,002289
2280,002371
2281,002388
2282,002389
2283,002402
2284,002426
2285,002436
2286,002449
2287,002456
2288,002463
2289,002475
2290,002484
2291,002504
2292,002506
2293,002512
2294,002579
2295,002587
2296,002600
2297,002618
2298,002636
2299,002638
2300,002654
2301,002655
2302,002724
2303,002729
2304,002745
2305,300014
2306,300029
2307,300032
2308,300046
2309,300053
2310,300077
2311,300078
2312,300083
2313,300088
2314,300102
2315,300111
2316,300114
2317,300115
2318,300118
2319,300127
2320,300128
2321,300131
2322,300139
2323,300154
2324,300155
2325,300162
2326,300184
2327,300205
2328,300207
2329,300215
2330,300219
2331,300220
2332,300223
2333,300224
2334,300227
2335,300232
2336,300241
2337,300242
2338,300256
2339,300269
2340,300279
2341,300296
2342,300301
2343,300303
2344,300317
2345,300319
2346,300323
2347,300327
2348,300331
2349,300340
2350,300342
2351,300346
2352,300351
2353,300373
2354,300389
2355,300408
2356,300414
2357,300433
2358,600011
2359,600021
2360,600023
2361,600027
2362,600098
2363,600101
2364,600110
2365,600116
2366,600131
2367,600236
2368,600310
2369,600396
2370,600452
2371,600483
2372,600505
2373,600509
2374,600578
2375,600642
2376,600644
2377,600674
2378,600726
2379,600744
2380,600769
2381,600780
2382,600795
2383,600863
2384,600864
2385,600868
2386,600869
2387,600886
2388,600900
2389,600969
2390,600979
2391,600995
2392,601016
2393,601991
2394,000027
2395,000037
2396,000531
2397,000539
2398,000543
2399,000600
2400,000601
2401,000690
2402,000720
2403,000722
2404,000767
2405,000791
2406,000862
2407,000875
2408,000883
2409,000899
2410,000939
2411,000958
2412,000966
2413,000993
2414,001896
2415,002039
2416,002479
2417,002692
2418,300423
2419,600006
2420,600066
2421,600081
2422,600093
2423,600104
2424,600148
2425,600166
2426,600178
2427,600182
2428,600213
2429,600303
2430,600335
2431,600375
2432,600418
2433,600469
2434,600480
2435,600501
2436,600523
2437,600609
2438,600623
2439,600653
2440,600660
2441,600676
2442,600686
2443,600698
2444,600699
2445,600715
2446,600741
2447,600742
2448,600760
2449,600960
2450,601058
2451,601238
2452,601258
2453,601633
2454,601689
2455,601799
2456,601965
2457,603006
2458,603009
2459,603158
2460,603166
2461,603306
2462,603788
2463,603997
2464,000025
2465,000030
2466,000338
2467,000550
2468,000559
2469,000572
2470,000581
2471,000589
2472,000599
2473,000622
2474,000625
2475,000700
2476,000710
2477,000753
2478,000757
2479,000760
2480,000800
2481,000868
2482,000927
2483,000951
2484,000957
2485,002013
2486,002031
2487,002048
2488,002085
2489,002126
2490,002190
2491,002213
2492,002265
2493,002283
2494,002284
2495,002355
